student_id,course_type,attendance,quiz_score,participation,video_watch,ppt_progress,has_video,has_ppt,assignment_score,final_score,pass
1,f2f,86.88217111424686,72.51036551406521,69.9247821180509,0.0,0.0,0,0,90.33564302732218,66.18457661037182,1
2,f2f,71.78741816085677,67.26301433195671,75.89467738768086,0.0,0.0,0,0,64.79088506362923,58.72907684503862,0
3,f2f,70.05899700508496,39.61385948709619,47.80154221999947,0.0,0.0,0,0,47.074365328652085,39.138852295521765,0
4,f2f,75.48935060648088,58.2215195761534,52.15896865975775,0.0,0.0,0,0,51.67381840675586,46.01784912622977,0
5,blended,86.7434155306108,81.71176347109682,54.54702280136627,87.78020605997492,74.45685335566326,1,1,82.92042616653282,78.46798143224844,1
6,f2f,89.4223360879543,66.7204799678723,32.94153554859988,0.0,0.0,0,0,49.56492818278228,58.6255870007206,0
7,blended,54.288225993883394,55.41107116681655,77.41305506036993,75.10577107308464,73.00201774791769,1,1,62.63356662243838,56.70275531628048,0
8,f2f,62.97244936457162,85.03557913184294,70.40792867814876,0.0,0.0,0,0,47.49924043441849,55.2176343234257,0
9,blended,68.21647451432894,41.040381376874215,88.02599307357275,85.39456836477356,60.35584397448434,1,1,60.819254686596196,63.2120249250614,1
10,blended,96.39517466163244,68.11945047967392,39.38673920349841,56.69808629203219,94.05791514633154,1,1,48.08354264794242,69.73871873911675,1
11,f2f,80.14965180357574,50.94559572322068,100.0,0.0,0.0,0,0,73.07568822046638,59.679657877787754,0
12,blended,79.10470154864048,92.876531256595,84.34125059254244,46.22200150948851,81.8381542544751,1,1,92.33886613909975,85.90658772611252,1
13,blended,74.70233390381209,48.849527391451346,50.231877503310585,58.12348457701595,85.91211828223759,1,1,62.47180651559562,62.609333692984194,1
14,f2f,80.55299667176907,61.175338207837626,79.57204697073949,0.0,0.0,0,0,79.54024899127343,60.41013795772086,1
15,blended,38.216084729637714,100.0,17.88319866457941,57.89366333530939,76.9488359385438,1,1,62.20751202538306,63.956795769649325,1
16,blended,76.59482511795024,51.88637643534984,62.1489382648487,84.12526883365057,100.0,1,1,74.99201989809319,74.50258272269838,1
17,f2f,67.89287238922111,69.54227351235546,40.60938877901384,0.0,0.0,0,0,30.467524203739345,50.869853346338786,0
18,f2f,89.58081711121991,97.78759694901721,34.69301110554058,0.0,0.0,0,0,60.12092811577657,66.50059018336675,1
19,f2f,60.878585275375926,56.51011136408521,78.0426992203497,0.0,0.0,0,0,68.88187812058686,59.67337071753583,0
20,blended,75.73748429126414,84.81555147587932,58.352406962232685,65.84123204091684,70.82547631143765,1,1,56.50896586580935,83.93200669782328,1
21,f2f,86.78640164082645,86.39964754213634,51.55948075498384,0.0,0.0,0,0,67.85375167785834,71.47771777188288,1
22,blended,100.0,59.78799510968601,65.91103687693818,31.765930875762123,70.34395626522303,1,1,61.73950656102339,76.46778197131069,1
23,blended,58.241326814086705,79.1570079898308,74.30576777144827,82.29145857095675,60.994246016505336,1,1,81.2090630220779,64.20829705827458,1
24,f2f,98.50693669893474,71.41706530341017,71.26950733726808,0.0,0.0,0,0,59.247146317562844,57.221232697300785,0
25,blended,84.98159155696814,76.3504319801607,58.90818706905756,54.841215009619674,100.0,1,1,100.0,78.38989806681334,1
26,blended,75.7467509717372,92.61440597024156,58.31523719906265,76.13551922886656,64.87580933147903,1,1,63.56862303466272,75.3661485880692,1
27,f2f,54.997110173641914,18.959622523307516,79.88808323500915,0.0,0.0,0,0,42.53307031579577,33.70613991091756,0
28,f2f,75.08226060705705,82.99119513781439,47.129885287195535,0.0,0.0,0,0,58.798995869261454,53.81653544023242,0
29,f2f,79.18581796293263,64.38274031193856,77.63407322175178,0.0,0.0,0,0,23.0446797813017,50.633143927902765,0
30,f2f,100.0,61.157040691729065,71.30921674426597,0.0,0.0,0,0,56.39360470304962,63.75631722817299,1
31,f2f,96.34793456359675,37.57070254921895,65.60423601643842,0.0,0.0,0,0,53.4890676018013,52.64205841624657,0
32,blended,69.9109056972323,100.0,61.153414885836085,26.60225126199012,62.854154064138356,1,1,51.65122481893093,66.3854271048723,1
33,f2f,94.3555003203214,64.8597520321337,36.15948632899456,0.0,0.0,0,0,42.524132062125155,49.04957912925144,0
34,blended,45.64591821937495,69.29896976623688,90.16702564379834,100.0,86.23373277569556,1,1,75.45442625178468,70.81489155979214,1
35,f2f,45.58612602792023,97.09626960807819,43.55829587895324,0.0,0.0,0,0,34.048987022203974,42.41260261981981,0
36,f2f,57.64538408610358,82.86818365527986,23.378940091178116,0.0,0.0,0,0,37.62919414472526,42.628364528867664,0
37,blended,76.06949512576458,90.0256787902822,57.81792670794034,51.389900336697735,61.512139231250686,1,1,87.95581891247879,65.0457821839513,1
38,blended,61.027071118530365,52.24759657573614,83.08930815978727,88.24916075921604,64.34559096438272,1,1,61.44121017461832,61.73680195982474,1
39,f2f,85.45733944740184,56.785708648128754,83.67626889235903,0.0,0.0,0,0,87.34153899343775,63.56802023663054,1
40,f2f,65.58568440794984,47.87610225727461,72.65582596716484,0.0,0.0,0,0,52.86214017777614,55.77873341451139,0
41,blended,80.34119236830863,76.31269739313818,51.44172914465703,63.456924789375826,49.84802863706602,1,1,49.5318048109221,64.13192750774127,1
42,blended,63.59912558431499,69.48317243405403,69.8711629961037,65.59588947272428,50.001550016086085,1,1,34.95218600743133,56.02679931900404,0
43,blended,77.82576457002925,41.773480490225495,62.77885310090953,100.0,54.97472101325947,1,1,49.82287258353955,54.87875580520706,0
44,f2f,96.63282412514941,59.62603253856912,67.88953975954051,0.0,0.0,0,0,62.55022864506901,59.27704885954794,0
45,f2f,71.03486298294347,72.49646180125417,37.38491128926561,0.0,0.0,0,0,87.88094786253282,61.66280257814151,1
46,f2f,83.29289829893713,61.85176362219984,65.02477188469344,0.0,0.0,0,0,70.05055597513356,63.06408411142081,1
47,blended,99.62136792870902,64.55428651025032,76.81759304223682,61.73597440338142,93.74490043798505,1,1,97.78778340096969,74.84553857500305,1
48,blended,99.20401092812993,75.06698805644098,44.45896181641329,100.0,87.87941740581743,1,1,60.546039252037204,88.91327258630929,1
49,blended,87.59324836938193,96.16594005664751,61.25739772463859,74.72737916670745,61.88070410081545,1,1,92.55867918980793,90.72587495631589,1
50,blended,65.91918641477307,100.0,65.55272695536853,75.41727251506407,81.2403349717282,1,1,98.39316558367459,85.8574438777608,1
51,blended,64.37377045472032,89.20857298174708,50.140204515183626,26.48322178344533,72.69049149589705,1,1,77.37007449753824,74.27256179039922,1
52,blended,91.68105380913444,100.0,64.1633761762311,81.91954177746148,45.39353909947779,1,1,90.39897096273349,80.71772963122545,1
53,f2f,60.232685350727856,87.31592842508103,64.16115837481274,0.0,0.0,0,0,70.48573238446151,46.93421772087356,0
54,f2f,71.24260084045423,75.73892618283769,56.730298768447234,0.0,0.0,0,0,40.91805702175172,52.444445865444564,0
55,f2f,72.60530879553465,53.40139770632871,58.28782896748774,0.0,0.0,0,0,62.53861509729394,48.22345947661339,0
56,blended,65.77641522237812,65.6236220461987,56.04697968040003,48.99524606929401,74.85504511636199,1,1,55.60803036453227,64.88301310963375,1
57,blended,74.59179705948611,69.83092244905795,60.613757067184,95.793233085732,49.439832995792095,1,1,59.43506112590342,69.97153967870781,1
58,blended,66.91541529807046,48.63642169828246,77.38482764557386,8.987900007146116,72.41609792614787,1,1,31.521929496747266,53.43517390383543,0
59,blended,100.0,97.2890672773155,66.47323444481019,91.4570027133932,78.92947215460306,1,1,74.18026020609942,82.12062719857099,1
60,blended,55.36059648614126,47.98174336394162,28.940008097887073,84.40864271643828,46.69328460155863,1,1,37.97128128797709,48.90149507366971,0
61,blended,75.82812988183454,99.19942841604637,94.99550898033885,71.45200019356052,76.19284093692333,1,1,76.75116743206918,83.8164083224099,1
